sku_id,cat,rank_v1,recommend_index,rank_v2,recommend_score,rank_change
Lee牛仔裤,衣服,439,30.59,2523,15.09,-2084
某机场某酒店,酒店,440,30.47,2293,35.31,-1853
公平定律,书籍,441,30.33,2247,39.74,-1806
华为畅享6,平板,442,30.18,2338,27.76,-1896
女心理师,书籍,443,30.01,1771,73.71,-1328
色戒,书籍,444,30.01,2418,24.17,-1974
胡兰成的作品,书籍,445,30.01,2283,36.64,-1838
越南红心火龙果,水果,446,29.81,2326,28.53,-1880
TCL手机,手机,447,29.81,2308,32.25,-1861
施华寇洗发水,洗发水,448,29.81,2049,55.59,-1601
某城市某酒店,酒店,449,29.81,2259,38.66,-1810
天水苹果,水果,450,29.81,2239,41.62,-1789
惠润洗发水,洗发水,451,29.81,2587,14.04,-2136
华为P9,平板,452,29.81,2449,22.88,-1997
锦江之星,酒店,453,29.57,2445,23.09,-1992
上海航空酒店,酒店,454,29.57,1912,66.48,-1458
浦东某酒店,酒店,455,29.57,2255,38.82,-1800
桔子酒店,酒店,456,29.57,2488,15.96,-2032
速8酒店,酒店,457,29.29,2490,15.87,-2033
锦江某酒店,酒店,458,29.29,2484,16.26,-2026
红米平板,平板,459,29.29,2616,13.7,-2157
华为P10,平板,460,29.29,2581,14.14,-2121
联想X200,计算机,461,29.29,2483,16.45,-2022
亚麻裤,衣服,462,29.29,2675,13.22,-2213
修身裤,衣服,463,29.29,2680,13.21,-2217
闽泰酒店,酒店,464,29.29,2023,57.57,-1559
泛太平洋酒店,酒店,465,29.29,2010,58.28,-1545
如家快捷酒店,酒店,466,29.29,2492,15.8,-2026
橘子酒店,酒店,467,29.29,2709,13.04,-2242
嘎啦果,水果,468,29.29,1990,60.6,-1522
水之密语洗发水,洗发水,469,29.29,2640,13.48,-2171
欧莱雅洗发水,洗发水,470,29.29,2480,17.22,-2010
越南火龙果,水果,471,29.29,2727,12.95,-2256
工作服,衣服,472,29.29,2782,12.64,-2310
31岁小美女的养颜经,书籍,473,29.29,2627,13.63,-2154
CECT手机,手机,474,29.29,2577,14.22,-2103
